scenario.CEO,scenario.Year,scenario.Age,scenario.dominant_gender,scenario.dominant_race,scenario.dominant_emotion,answer.Projected_risk_taking,answer.Projected_leadership_strength,answer.Projected_communication_skill,answer.Projected_financial_stewardship,expected_performance_factor,Ticker,Company,Return,Year_Cum_Ret_Daily,Tenure_Cum_Ret_Daily,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall,Industry,Sector,Market_Cap,Full_Time_Employees
Tim Cook,2011,28,Man,white,happy,2,3.0,4.0,1.0,2.5,AAPL,Apple Inc.,0.001039796419753,1.255580806813677,1.255580806813677,1.255580806813677,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2012,42,Man,white,happy,3,4.0,4.0,4.0,3.75,AAPL,Apple Inc.,0.0012986932479849,1.3256686329736742,1.664484091756671,1.3256686329736742,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2013,46,Man,white,sad,2,4.0,4.0,4.0,3.5,AAPL,Apple Inc.,0.0004717303229241,1.0806953607985474,1.7988002360844169,1.0806953607985474,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2014,43,Man,white,angry,2,3.0,3.0,4.0,3.0,AAPL,Apple Inc.,0.0014465044108358,1.406224964681327,2.5295177984565704,1.406224964681327,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2015,37,Man,white,happy,3,3.0,4.0,3.0,3.25,AAPL,Apple Inc.,1.991787179691885e-05,0.9698629673585047,2.453285637997244,0.9698629673585047,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2016,31,Man,white,happy,3,1.0,4.0,3.0,2.75,AAPL,Apple Inc.,0.0005746624574461,1.1248039135712833,2.7594652867275165,1.1248039135712833,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2017,24,Man,latino hispanic,happy,1,1.0,1.0,1.0,1.0,AAPL,Apple Inc.,0.0016365645800862,1.4846437909963095,4.0968230044098535,1.4846437909963095,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2018,29,Man,white,sad,2,1.0,1.0,1.0,1.25,AAPL,Apple Inc.,-5.72627987889873e-05,0.9460978762134526,3.87599554369458,0.9460978762134526,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Tim Cook,2019,38,Man,white,neutral,3,4.0,5.0,4.0,4.0,AAPL,Apple Inc.,0.0026461028649686,1.875872475509339,7.270873355613515,1.875872475509339,7.270873355613515,Consumer Electronics,Technology,4201314516992,166000.0
Steve Ballmer,2010,27,Man,white,fear,2,1.0,3.0,1.0,1.75,MSFT,Microsoft Corporation,-0.0002344264642879,0.9205584980716268,0.9205584980716268,0.9205584980716268,1.3419140730332215,Software - Infrastructure,Technology,3618019213312,228000.0
